"id","nombre","precio_min","precio_max"
25838,"Agua Saborizada Manzana Sin Gas Villa Del Sur Levite 500 Cc","1600.00","2040.00"
25839,"Agua Saborizada Pomelo sin Gas Villa Del Sur Levite 500 Cc","1200.00","2040.00"
25840,"Agua Saborizada Pomelo Sin Gas Levite 1.5 Lt","1740.00","3090.00"
25841,"Aperitivo Amargo Serrano Tacconi 1.50 Lt","1259.00","1259.00"
25842,"Aperitivo Amargo Limon Tacconi 1.50 Lt","1259.00","1259.00"
25843,"Agua con Vitaminas Vitality Glaciar 500 Ml","1809.00","1990.00"
25844,"Agua Mineral con Gas Villavicencio 1.5 Lt","1445.00","1570.00"
25845,"Agua sin Gas Bidon Glaciar 6.3 Lt","5021.00","5279.00"
25846,"Agua Saborizada Citrus con Gas H2Oh 500 Cc","950.00","990.00"
25847,"Jugo Listo Naranja Bc La Campagnola 200 Ml","650.00","700.00"
25848,"Jugo Listo Multifruta Bc La Campagnola 200 Ml","650.00","700.00"
25849,"Gaseosa Pomelo Light Paso de los Toros 500 Cc","1250.00","1590.00"
25850,"Agua sin Gas Manzana Awafrut 1.5 Lt","1105.00","1129.00"
25851,"Agua Mineral con Gas Saldan 2.25 Lt","1199.00","1239.00"
25852,"Soda Sifon Cordoba 2 Lt","1350.00","1390.00"
25853,"Agua Mineralizada con Gas Cellier Favaloro 2 Lt","863.00","970.00"
25854,"Soda Saldan 1.5 Lt","999.00","1069.00"
25855,"Jugo Listo Limon Saldan 1.5 Lt","1399.00","1550.00"
25856,"Jugo en Polvo Sabor Pera Clight 7 Gr","330.00","349.00"
25857,"Aperitivo Amargo Patagonico Terma 1.35 Lt","1399.00","1920.00"
25858,"Gaseosa Cola Pepsi Black 500 Ml","1250.00","1590.00"
25859,"Jugo en Polvo Naranja Arcor 18 Gr","218.00","231.00"
25860,"Amargo Citrus Cero Terma 1.35 Lt","1399.00","1920.00"
25861,"Agua Saborizada con Gas Naranchelo H2Oh! 1.5 Lt","1799.00","1800.00"
25862,"Gaseosa Tonica Regular Paso de los Toros 1.5 Lt","1665.00","2500.00"
25863,"Gaseosa 7 Up Free 500 Cc","1250.00","1590.00"
25864,"Jugo en Polvo Frutilla Limon Bc La Campagnola 9 Gr","225.00","225.00"
25865,"Gaseosa Guarana Regular Carrefour Classic 2.25 Lt","1250.00","1250.00"
25866,"Gaseosa Limon Fizz Levite 575 Ml","1059.00","1700.00"
25867,"Gaseosa Pomelo Fizz Levite Fizz 575 Ml","1059.00","1700.00"
25868,"Bebida Energizante Ultra Sunrise Monster Energy Lata 473 Ml","2099.00","2100.00"
25869,"Bebida Energizante Red Bull Pack 4 Un 1 Lt","10359.00","10361.00"
25870,"Bebida Energizante Trop Edition Red Bull 250 Ml","2458.00","2589.00"
25871,"Bebida Energizante Paradise Monster Lata 473 Cc","2099.00","2100.00"
25872,"Coca Cola Pet 237 Cc","599.00","659.00"
25873,"Agua Mineral sin Gas Villavicencio 1.5 Lt","1445.00","1570.00"
25874,"Bebida Energizante en Lata Monster Mago Loco 473 Cc","2099.00","3020.00"
25875,"Agua sin Gas Benedictino 1.5 Lt","1149.00","1150.00"
25876,"Bebida Energizante sin Azucar Watermelon Lata Monster 473 Ml","2099.00","2100.00"
25877,"Jugo Naranja Arcor 200 Ml","550.00","630.00"
25878,"Jugo Multifruta Arcor 200 Ml","550.00","630.00"
25879,"Jugo de Multifrutal Baggio Pronto 200 Cc","225.00","600.00"
25880,"Jugo Manzana Arcor 200 Ml","550.00","630.00"
25881,"Jugo de Manzana Baggio Pronto 200 Cc","225.00","600.00"
25882,"Jugo de Naranja Baggio Pronto 200 Cc","225.00","600.00"
25883,"Bebida Energizante Energy Vr Monster 473 Ml","2099.00","2100.00"
25884,"Bebida Isotonica Frutas Tropicales Powerade 1.5 Lt","1850.00","1850.00"
25885,"Aperitivo Amargo Citrus sin Azucar Terma 1.35 Lt","1315.00","1920.00"
25886,"Bebida Isotonica Manzana Powerade 1.5 Lt","1850.00","1850.00"
25887,"Jugo en Polvo Naranja Lima Tang 15 Gr","318.00","349.00"
25888,"Agua Saborizada Pomelo Rosado Aquarius 2.25 Lt","1900.00","1900.00"
25889,"Agua Mineral sin Gas Carrefour 2 Lt","969.00","969.00"
25890,"Energizante Ultra Zero Monster 473 Ml","650.00","660.00"
25891,"Jugo de Naranja Estancia Los Naranjos 500 Ml","1590.00","1590.00"
25892,"Jugo de Naranja -Anana Estancia Los Naranjos 500 Ml","1590.00","1590.00"
25893,"Jugo de Limon-Menta-Jengibre Estancia Los Naranjos 500 Ml","1590.00","1590.00"
25894,"Jugo de Naranja -Maracuya Estancia Los Naranjos 500 Ml","1590.00","1590.00"
25895,"Jugo de Naranja-Durazno Estancia Los Naranjos 500 Ml","1590.00","1590.00"
25896,"Energizante Lata Monster Energy 473 Ml","2990.00","3020.00"
25897,"Bebida Energizante Pineapple Lata Monster 473 Ml","2099.00","2159.00"
25898,"Jugo en Polvo Diet Pomelo Rosado Clight Nereidas 11 Gr","43.20","44.28"
25899,"Jugo en Polvo Naranja Dulce Clight 20 Un 8 Gr","43.20","44.28"
25900,"Jugo Listo Naranja Bc La Campagnola 500 Cc","975.00","1400.00"
25901,"Agua Mineral sin Gas Villavicencio 2 Lt","740.00","770.00"
25902,"Agua Saborizada Pomelo Cero sin Gas Levite 500 Cc","2030.00","2040.00"
25903,"Agua Saborizada Manzana Cero sin Gas Levite 500 Cc","2030.00","2040.00"
25904,"Jugo Concentrado Naranja Frescor 1 Lt","3069.00","3069.00"
25905,"Jugo Listo Natural Naranja Frescor 1 Lt","3069.00","3069.00"
25906,"Jugo Listo Natural Pomelo Frescor 1 Lt","3339.00","3339.00"
25907,"Jugo Concentrado Naranja Diet Frescor 1 Lt","3069.00","3069.00"
25908,"Jugo Concentrado Naranja en Bidon Viraro 5 Lt","3789.00","3789.00"
25909,"Jugo en Polvo Manzana Arcor 18 Gr","214.00","224.00"
25910,"Jugo en Polvo 3 Frutas Arcor 18 Gr","218.00","218.00"
25911,"Jugo en Polvo Pomelo Amarillo Bc La Campagnola 7 Gr","225.00","225.00"
25912,"Jugo en Polvo Anana Arcor 18 Gr","218.00","218.00"
